Conversation Streetblock,Resident Name, Date, Time,Destination,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name
,,,,HyVee,38st18-20,3,20ave37-38,3,20ave36-37,3,20ave35-36,3,20ave35-36,3,20ave34-35,3,20ave33-34,3,20ave32-33,3,20ave31-32,3,20ave30-31,3,20ave29.5-30,3,20ave29-29.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Whitey's,20ave28-29,3,20ave27-28,3,20ave25-27,3,25st19-20,3,25st18-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hodge Park,38st20-22,3,38st22-21,3,38st21-23.5,3,38st23.5-23,3,23ave37-38,3,35st21,3,21ave35-36,3,21ave36-37,3,21ave37-38,3,39st22-23,3,23.5ave38-39,3,22ave38-39,3,20ave40-41,3,20ave39-40,3,20ave38-39,3,39st20-22,3,39st23-23.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,friend,38st23-24,3,38st24-24,3,38st24-26,3,38st26-27,3,38st27-28,3,38st28-29,3,38st29-30,3,38st30-31,3,31ave38,3,42st29,3,29ave38-42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,friend,37st18-20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(out for a walk),41st20,3,40st20-22,3,22ave40-41,3,22ave41-42,3,42st20-22,3,20ave41-42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23st10-12,Tom,10/22/15,3:00 PM,church,23st10-12,3,23st9-10,3,23st7-9,3,7ave22-23,3,7ave21-22,3,7ave20-21,3,7ave19-20,3,7ave18-19,3,18st7-8,3,8ave18-19,3,19st8-9,3,9ave19-20,3,9ave20-21,3,9ave21-22,3,9ave22-23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bus stop,23st6-7,3,23st5-6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(out for a walk),10ave22-23,3,10ave21-22,3,10ave20-21,3,10ave19-20,3,10ave17-19,3,17st10-12,3,17st12-13,3,13ave17-19,3,13ave19-20,3,13ave20-21,3,13ave21-22,3,22st12-13,3,12ave22-23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12ave30,Michael,11/4/15,2:30 PM,bus stop,12ave30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
